Hamilton Medical Arts,Digital Screening,1,G0202,190.00,2501 Kuser Rd.,Hamilton,NJ,08691,609-585-8800,http://www.4rai.com,MB
Meadowlands Hospital Medical Center,Mammogram,1,G0202,85.00,55 Meadowland Pkwy.,Secaucus,NJ,07094,201-392-3518,,jbp chc
Hudson River Radiology,Mammogram,1,G0202,100.00,120-152 48th St.,Union City,NJ,07087,201-330-1606,,jbp chc
Hudson Radiology Center of NJ,0Mammogram,1,G0202,150.00,657-659 Broadway,Bayonne,NJ,07002,201-437-3007,,jbp chc
Quakerbridge Radiology - Lawrenceville,Mammogram,1,G0202,156.00,21 Lawrenceville-Pennington Rd.,Lawrenceville,NJ,08648,609-890-0033,,jbp chc
Quakerbridge Radiology - Mercerville,Mammogram,1,G0202,156.00,8 Quakerbridge Plz.,Mercerville,NJ,08619,609-890-0033,,jbp chc
Westfield Imaging Center,Mammogram,1,G0202,195.00,118-122 Elm St.,Westfield,NJ,07090,908-232-0290,,jbp chc
The Imaging Center of Montville,Mammogram,1,G0202,200.00,350 Main Rd.,Montville,NJ,07045,973-401-6800,,jbp chc
Diagnostic Radiology Associates of Northfield,Mammogram,1,G0202,207.00,772 Northfield Ave.,West Orange,NJ,07052,973-325-0002,,jbp chc
St. Marys Hospital,Mammogram,1,G0202,219.00,350 Blvd.,Passaic,NJ,07055,973-365-4607,,jbp chc
South Mountain Imaging Center,Mammogram,1,G0202,225.00,120 Millburn Ave. Ste. 101,Millburn,NJ,07041,973-376-0900,,jbp chc
American Imaging of West Orange LLC,Mammogram,1,G0202,250.00,61 Main St.,West Orange,NJ,07045,973-669-1989,,jbp chc
Edgewater Family Care Center,Mammogram,1,G0202,260.00,725 River Rd. Ste. 202,Edgewater,NJ,07020,201-943-4040,,jbp chc
The Mountainside Hospital,Mammogram,1,G0202,290.00,1 Bay Ave.,Montclair,NJ,07042,973-429-6120,,jbp chc
Montclair Breast Center PC,Mammogram,1,G0202,350.00,37 North Fullerton Ave.,Montclair,NJ,07042,973-509-1818,,jbp chc
Quakerbridge Radiology - Lawrenceville,MAMMOGRAM DIGITAL BILATERAL ,1,G0204 ,186.00,21 Lawrenceville-Pennington Rd.,Lawrenceville,NJ,08648,609-890-0033,www.qbradiology.com,MB
Quakerbridge Radiology - Lawrenceville,MAMMOGRAM DIGITAL SCREENING ,1,G0202 ,156.00,21 Lawrenceville-Pennington Rd.,Lawrenceville,NJ,08648,609-890-0033,www.qbradiology.com,MB
Quakerbridge Radiology - Mercerville,MAMMOGRAM DIGITAL SCREENING ,1,G0202 ,156.00,8 Quakerbridge Plz.,Mercerville,NJ,08619,609-890-0033,www.qbradiology.com,MB
Lawrenceville Executive Center,Digital Screening,1,G0202,190.00,3120 Princeton Pike,Lawrenceville,NJ,08648,(609) 219-1000,http://www.4rai.com,MB
East Windsor Medical Commons,Digital Screening,1,G0202,190.00,300A Princeton-Hightstown Road Suite 101,East Windsor,NJ,08520,(609) 426-9200,http://www.4rai.com,MB
The Suite for Womens Imaging,Digital Screening,1,G0202,190.00,2501 Kuser Rd.,Hamilton,NJ,08691,609-585-8800,http://www.4rai.com,MB
The Suite for Womens Imaging,Digital Screening,1,G0202,190.00,3120 Princeton Pike,Lawrenceville,NJ,08648,(609) 219-1000,http://www.4rai.com,MB
Hamilton Medical Arts,Cervical Spine w & w/o contrast,7,72156,745.00,2501 Kuser Rd.,Hamilton,NJ,08691,609-585-8800,http://www.4rai.com,MB
Lawrenceville Executive Cente,Cervical Spine w & w/o contrast,7,72156,745.00,3120 Princeton Pike,Lawrenceville,NJ,08648,(609) 219-1000,http://www.4rai.com,MB
East Windsor Medical Commons,Cervical Spine w & w/o contrast,7,72156,745.00,300A Princeton-Hightstown Road Suite 101,East Windsor,NJ,08520,(609) 426-9200,http://www.4rai.com,MB
Hamilton Medical Arts,Cervical Spine w/o contrast,6,72141,475.00,2501 Kuser Rd.,Hamilton,NJ,08691,609-585-8800,http://www.4rai.com,MB
Lawrenceville Executive Cente,Cervical Spine w/o contrast,6,72141,475.00,3120 Princeton Pike,Lawrenceville,NJ,08648,(609) 219-1000,http://www.4rai.com,MB
East Windsor Medical Commons,Cervical Spine w/o contrast,6,72141,475.00,300A Princeton-Hightstown Road Suite 101,East Windsor,NJ,08520,(609) 426-9200,http://www.4rai.com,MB
North Jersey Imaging Center,Lower back MRI with and without dye,5,72158,1260.00,307 West 60th St.,West New York,NJ,07093,201-854-1200,radiologyimagingcenters.com,Juliet
North Jersey Imaging Center,Lower back MRI without dye,4,72148,840.00,307 West 60th St.,West New York,NJ,07093,201-854-1200,radiologyimagingcenters.com,Juliet
Hamilton Medical Arts,Lumbar Spine w&w/o contrast,5,72158,735.00,2501 Kuser Rd.,Hamilton,NJ,08691,609-585-8800,http://www.4rai.com,MB
Lawrenceville Executive Cente,Lumbar Spine w&w/o contrast,5,72158,735.00,3120 Princeton Pike,Lawrenceville,NJ,08648,(609) 219-1000,http://www.4rai.com,MB
East Windsor Medical Commons,Lumbar Spine w&w/o contrast,5,72158,735.00,300A Princeton-Hightstown Road Suite 101,East Windsor,NJ,08520,(609) 426-9200,http://www.4rai.com,MB
Hamilton Medical Arts,Lumbar Spine w/o contrast,4,72148,470.00,2501 Kuser Rd.,Hamilton,NJ,08691,609-585-8800,http://www.4rai.com,MB
Lawrenceville Executive Cente,Lumbar Spine w/o contrast,4,72148,470.00,3120 Princeton Pike,Lawrenceville,NJ,08648,(609) 219-1000,http://www.4rai.com,MB
East Windsor Medical Commons,Lumbar Spine w/o contrast,4,72148,470.00,300A Princeton-Hightstown Road Suite 101,East Windsor,NJ,08520,(609) 426-9200,http://www.4rai.com,MB
North Jersey Imaging Center,Upper back MRI with and without dye,7,72156,1260.00,307 West 60th St.,West New York,NJ,07093,201-854-1200,radiologyimagingcenters.com,Juliet
North Jersey Imaging Center,Upper back MRI without dye,6,72141,840.00,307 West 60th St.,West New York,NJ,07093,201-854-1200,radiologyimagingcenters.com,Juliet
Denville Diagnostics,MRI With and Without Contrast,7,none,550.00,161 East Main St.,Denville,NJ,07834,973-586-1212,http://www.denvillediagnostics.com/,MB
Denville Diagnostics,MRI Without Contrast,6,none,475.00,161 East Main St.,Denville,NJ,07834,973-586-1212,http://www.denvillediagnostics.com/,MB
Quakerbridge Radiology - Lawrenceville,MRI-CERVICAL SPINE W/O CONTRAST ,6,72141,471.00,21 Lawrenceville-Pennington Rd.,Lawrenceville,NJ,08648,609-890-0033,www.qbradiology.com,MB
Quakerbridge Radiology - Mercerville,MRI-CERVICAL SPINE W/O CONTRAST ,6,72141,471.00,8 Quakerbridge Plz.,Mercerville,NJ,08619,609-890-0033,www.qbradiology.com,MB
Quakerbridge Radiology - Lawrenceville,MRI-CERVICAL SPINE W/WO CONTRAST ,7,72156,737.00,21 Lawrenceville-Pennington Rd.,Lawrenceville,NJ,08648,609-890-0033,www.qbradiology.com,MB
Quakerbridge Radiology - Mercerville,MRI-CERVICAL SPINE W/WO CONTRAST ,7,72156,737.00,8 Quakerbridge Plz.,Mercerville,NJ,08619,609-890-0033,www.qbradiology.com,MB
Quakerbridge Radiology - Lawrenceville,MRI-LUMBAR W/O CONTRAST ,4,72148,465.00,21 Lawrenceville-Pennington Rd.,Lawrenceville,NJ,08648,609-890-0033,www.qbradiology.com,MB
Quakerbridge Radiology - Mercerville,MRI-LUMBAR W/O CONTRAST ,4,72148,465.00,8 Quakerbridge Plz.,Mercerville,NJ,08619,609-890-0033,www.qbradiology.com,MB
Quakerbridge Radiology - Lawrenceville,MRI-LUMBAR W/WO CONTRAST ,5,72158,727.00,21 Lawrenceville-Pennington Rd.,Lawrenceville,NJ,08648,609-890-0033,www.qbradiology.com,MB
Quakerbridge Radiology - Mercerville,MRI-LUMBAR W/WO CONTRAST ,5,72158,727.00,8 Quakerbridge Plz.,Mercerville,NJ,08619,609-890-0033,www.qbradiology.com,MB
North Jersey Imaging Center,Abdominal ultrasound ,3,76700,220.00,307 West 60th St.,West New York,NJ,07093,201-854-1200,radiologyimagingcenters.com,Juliet
American Imaging of New Jersey,Abdominal ultrasound ,3,76700,195.00,505 Summit Ave.,Jersey City,NJ,07306,202-656-5050,aisny.com,Juliet,If one asks for a discount can get both ultrasounds for $250.,
Hamilton Medical Arts,Abdomen (all abdominal organs),3,76700,155.00,2501 Kuser Rd.,Hamilton,NJ,08691,609-585-8800,http://www.4rai.com,MB
Lawrenceville Executive Cente,Abdomen (all abdominal organs),3,76700,155.00,3120 Princeton Pike,Lawrenceville,NJ,08648,(609) 219-1000,http://www.4rai.com,MB
